K,perplexity,log_likelihood,coherence_cv,coherence_umass,train_time_s,N_docs_trained,V_vocab
3,886.6256319852603,-2245191.2364349086,0.2871200398615622,-4.151216829582088,7.029,897,7016
4,849.631305233496,-2231092.9835205865,0.27497662487020075,-3.1040479453285696,7.924,897,7016
5,847.7534518199265,-2230361.069618379,0.2843660896247389,-4.014407976092938,8.185,897,7016
6,849.2336758269018,-2230938.1382063474,0.30543301240616744,-3.6770164933912195,8.214,897,7016
7,848.2205787398923,-2230543.2888193787,0.42733497212366994,-2.4681963878235167,8.263,897,7016
8,847.9947344548477,-2230455.202886682,0.40099573827418133,-2.2032003614806364,9.873,897,7016
9,848.9893418962143,-2230842.9534306796,0.47739429251894766,-3.348747580696175,11.503,897,7016
10,854.1904621374118,-2232863.254875363,0.43221993559118044,-4.184020377088424,10.821,897,7016
12,845.4399337398037,-2229457.1183179026,0.4470649885430495,-3.523230178552964,11.209,897,7016
15,849.6390978119498,-2231096.017391646,0.45009158120494797,-4.338382734155622,11.631,897,7016
